Year,State,StateName,County,FIPS,Diabetes,HighBP,Obesity,NeedScore
2023,CO,Colorado,Dolores,08033,11.5,35.1,27.3,24.633333333333336
2023,CO,Colorado,Douglas,08035,6.8,25.8,25.3,19.3
2023,CO,Colorado,Eagle,08037,8.5,25.2,24.3,19.333333333333332
2023,CO,Colorado,El Paso,08041,8.7,28.1,28.3,21.7
2023,CO,Colorado,Elbert,08039,8.9,29.9,24.8,21.2
2023,CO,Colorado,Fremont,08043,11.4,32.6,30.6,24.866666666666664
2023,CO,Colorado,Garfield,08045,8.9,27.2,24.0,20.03333333333333
2023,CO,Colorado,Gilpin,08047,9.6,31.1,25.5,22.066666666666666
2023,CO,Colorado,Grand,08049,9.1,29.8,24.3,21.066666666666666
2023,CO,Colorado,Gunnison,08051,7.1,24.2,23.8,18.366666666666664
2023,CO,Colorado,Hinsdale,08053,10.0,34.1,23.5,22.53333333333333
2023,CO,Colorado,Huerfano,08055,13.9,37.6,27.5,26.333333333333332
2023,CO,Colorado,Kiowa,08061,11.8,36.1,27.1,25.0
2023,CO,Colorado,Kit Carson,08063,11.4,33.3,29.4,24.7
2023,CO,Colorado,La Plata,08067,9.3,28.6,20.9,19.599999999999998
2023,CO,Colorado,Larimer,08069,7.3,25.6,23.5,18.8
2023,CO,Colorado,Las Animas,08071,13.7,35.5,32.5,27.233333333333334
2023,CO,Colorado,Mesa,08077,9.8,31.1,29.8,23.566666666666666
2023,CO,Colorado,Mineral,08079,10.5,34.3,25.7,23.5
2023,CO,Colorado,Moffat,08081,10.8,32.3,28.5,23.866666666666664
2023,CO,Colorado,Montezuma,08083,11.8,33.9,28.4,24.7
2023,CO,Colorado,Montrose,08085,11.5,34.1,27.5,24.366666666666664
2023,CO,Colorado,Otero,08089,14.5,35.6,34.6,28.233333333333334
2023,CO,Colorado,Ouray,08091,10.0,34.0,23.3,22.433333333333334
2023,CO,Colorado,Park,08093,10.2,32.7,23.5,22.133333333333336
2023,CO,Colorado,Pitkin,08097,8.4,28.8,20.7,19.3
2023,CO,Colorado,Prowers,08099,12.6,32.5,29.2,24.766666666666666
2023,CO,Colorado,Pueblo,08101,12.3,32.2,32.1,25.533333333333335
2023,CO,Colorado,Rio Blanco,08103,9.6,31.1,26.7,22.46666666666667
2023,CO,Colorado,Rio Grande,08105,12.2,33.4,27.7,24.433333333333334
2023,CO,Colorado,Routt,08107,8.3,27.9,23.7,19.966666666666665
2023,CO,Colorado,Saguache,08109,15.1,38.3,29.1,27.5
2023,CO,Colorado,San Juan,08111,10.2,32.4,26.4,23.0
2023,CO,Colorado,San Miguel,08113,8.7,28.7,26.3,21.233333333333334
2023,CO,Colorado,Sedgwick,08115,13.0,37.8,28.0,26.266666666666666
2023,CO,Colorado,Summit,08117,7.9,26.3,24.4,19.53333333333333
2023,CO,Colorado,Teller,08119,10.2,33.4,24.1,22.566666666666663
2023,CO,Colorado,Weld,08123,9.5,27.8,33.8,23.7
2023,CT,Connecticut,Capitol,09110,11.0,32.5,31.9,25.133333333333336
2023,CT,Connecticut,Greater Bridgeport,09120,10.3,30.6,28.1,23.0
2023,CT,Connecticut,Lower Connecticut River Valley,09130,9.4,33.5,29.0,23.96666666666667
2023,CT,Connecticut,Naugatuck Valley,09140,10.6,33.3,32.5,25.46666666666667
2023,CT,Connecticut,Northeastern Connecticut,09150,10.3,35.1,33.3,26.23333333333333
2023,CT,Connecticut,Northwest Hills,09160,10.0,32.4,28.2,23.53333333333333
2023,CT,Connecticut,South Central Connecticut,09170,10.4,32.8,33.4,25.53333333333333
2023,CT,Connecticut,Southeastern Connecticut,09180,10.0,34.4,32.5,25.633333333333336
2023,CT,Connecticut,Western Connecticut,09190,8.5,28.2,24.7,20.46666666666667
2023,DC,District of Columbia,District of Columbia,11001,7.8,28.5,24.7,20.333333333333332
2023,DE,Delaware,Kent,10001,14.3,39.5,43.5,32.43333333333333
2023,DE,Delaware,New Castle,10003,12.2,35.2,33.4,26.933333333333334
2023,DE,Delaware,Sussex,10005,14.2,43.4,33.8,30.46666666666667
2023,FL,Florida,Calhoun,12013,15.2,40.3,40.0,31.833333333333332
2023,FL,Florida,Clay,12019,12.2,36.9,34.9,28.0
2023,FL,Florida,Escambia,12033,12.8,38.8,35.8,29.13333333333333
2023,FL,Florida,Franklin,12037,15.3,44.0,32.3,30.53333333333333
2023,FL,Florida,Jackson,12063,15.6,41.9,38.7,32.06666666666667
2023,FL,Florida,Jefferson,12065,16.3,46.3,35.1,32.56666666666667
2023,FL,Florida,Lee,12071,14.5,39.6,30.4,28.166666666666668
2023,FL,Florida,Madison,12079,16.8,43.9,38.0,32.9
2023,FL,Florida,Marion,12083,14.9,40.9,36.4,30.73333333333333
2023,FL,Florida,Monroe,12087,13.2,38.0,25.8,25.666666666666668
2023,FL,Florida,Sumter,12119,16.0,48.0,29.5,31.166666666666668
2023,FL,Florida,Washington,12133,15.1,42.3,40.1,32.5
2023,FL,Florida,Columbia,12023,15.1,41.5,39.7,32.1
2023,FL,Florida,Lafayette,12067,14.6,39.4,34.7,29.566666666666666
2023,FL,Florida,Polk,12105,13.6,36.2,40.2,30.0
2023,FL,Florida,Union,12125,14.5,41.0,41.6,32.36666666666667
2023,FL,Florida,Lake,12069,14.5,38.9,35.3,29.566666666666663
2023,FL,Florida,Orange,12095,11.7,32.0,33.5,25.733333333333334
2023,FL,Florida,Alachua,12001,10.5,30.7,30.9,24.03333333333333
2023,FL,Florida,Baker,12003,12.3,36.7,35.3,28.099999999999998
2023,FL,Florida,Bay,12005,11.9,37.7,33.4,27.666666666666668
2023,FL,Florida,Bradford,12007,14.4,38.5,34.9,29.266666666666666
2023,FL,Florida,Brevard,12009,13.1,38.8,34.0,28.633333333333336
2023,FL,Florida,Broward,12011,13.5,36.3,30.6,26.8
2023,FL,Florida,Charlotte,12015,15.6,45.1,30.6,30.433333333333337
2023,FL,Florida,Citrus,12017,15.8,42.6,32.3,30.23333333333333
2023,FL,Florida,Collier,12021,13.7,39.2,26.6,26.5
2023,FL,Florida,DeSoto,12027,17.6,42.4,41.0,33.666666666666664
